CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Initial_referred,Percent_assessment,Referral_cyt_bio,Open_biop_total,Final_STR,Percent_STR
2014-15,E92000001,England,England,National,50-52,F2,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,E92000001,England,England,National,50<71,A,14181.0,7.816711590296496,6773.0,368.0,141.0,0.07772063565558184
2014-15,E92000001,England,England,National,50<71,A to F2,68973.0,3.841849889740306,31926.0,1350.0,715.0,0.03982605760463252
2014-15,E92000001,England,England,National,50<71,B,4498.0,7.898294965671039,2199.0,113.0,65.0,0.1141372104865757
2014-15,E92000001,England,England,National,50<71,C1,41893.0,2.9840019374323323,19154.0,727.0,385.0,0.027423214998005582
2014-15,E92000001,England,England,National,50<71,C2,5194.0,4.735162731333759,2581.0,82.0,58.0,0.052876287719938006
2014-15,E92000001,England,England,National,50<71,D,767.0,98.45956354300385,109.0,17.0,52.0,6.675224646983311
2014-15,E92000001,England,England,National,50<71,E,1260.0,8.459214501510575,565.0,21.0,5.0,0.033568311513930846
2014-15,E92000001,England,England,National,50<71,F1,949.0,4.024938501993383,432.0,17.0,6.0,0.0254474510136568
2014-15,E92000001,England,England,National,50<71,F2,231.0,5.665930831493745,113.0,5.0,3.0,0.07358351729212656
2014-15,E92000001,England,England,National,53-54,A,354.0,8.697788697788699,164.0,6.0,7.0,0.171990171990172
2014-15,E92000001,England,England,National,53-54,A to F2,7481.0,3.8916112654369153,3146.0,168.0,82.0,0.042656345911753386
2014-15,E92000001,England,England,National,53-54,B,1409.0,7.78840307335139,699.0,41.0,18.0,0.09949698745232435
2014-15,E92000001,England,England,National,53-54,C1,5136.0,3.1921439448087265,2051.0,106.0,47.0,0.02921159762578079
2014-15,E92000001,England,England,National,53-54,C2,189.0,4.533461261693452,79.0,2.0,0.0,0.0
2014-15,E92000001,England,England,National,53-54,D,94.0,98.94736842105263,13.0,2.0,9.0,9.473684210526317
2014-15,E92000001,England,England,National,53-54,E,188.0,8.56492027334852,93.0,6.0,0.0,0.0
2014-15,E92000001,England,England,National,53-54,F1,110.0,4.113687359760658,46.0,5.0,1.0,0.037397157816005985
2014-15,E92000001,England,England,National,53-54,F2,1.0,2.2222222222222223,1.0,0.0,0.0,0.0
2014-15,E92000001,England,England,National,55-59,A,292.0,7.89829591560725,145.0,3.0,9.0,0.2434406275358399
2014-15,E92000001,England,England,National,55-59,A to F2,13703.0,3.1630215246119224,6066.0,245.0,150.0,0.034624040625541
2014-15,E92000001,England,England,National,55-59,B,1138.0,7.654536893791619,566.0,23.0,22.0,0.14797874487119123
2014-15,E92000001,England,England,National,55-59,C1,10222.0,2.746454086499064,4453.0,185.0,91.0,0.024449943442713246
2014-15,E92000001,England,England,National,55-59,C2,1401.0,4.364893915319189,670.0,25.0,16.0,0.04984889553540829
2014-15,E92000001,England,England,National,55-59,D,157.0,98.74213836477988,26.0,3.0,8.0,5.031446540880504
