CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Screened,Invited,Uptake
2014-15,E92000001,England,England,National,Over 70,D,100.0,100.0,100.0
2015-16,E92000001,England,England,National,45-49,A,162735.0,243903.0,66.72119654124795
2015-16,E92000001,England,England,National,45-49,A and C1,178232.0,262660.0,67.85654458234981
2015-16,E92000001,England,England,National,45-49,A to C2,181519.0,271466.0,66.86620055550235
2015-16,E92000001,England,England,National,45-49,A to D,181613.0,271560.0,66.87766975990573
2015-16,E92000001,England,England,National,45-49,B,2772.0,8027.0,34.53344960757443
2015-16,E92000001,England,England,National,45-49,C1,15497.0,18757.0,82.61982193314495
2015-16,E92000001,England,England,National,45-49,C2,515.0,779.0,66.11039794608472
2015-16,E92000001,England,England,National,45-49,D,94.0,94.0,100.0
2015-16,E92000001,England,England,National,45-74,A,320057.0,497071.0,64.38858835055757
2015-16,E92000001,England,England,National,45-74,A and C1,1837763.0,2242436.0,81.95386624189052
2015-16,E92000001,England,England,National,45-74,A to C2,2039843.0,2852458.0,71.51176283752469
2015-16,E92000001,England,England,National,45-74,A to D,2040674.0,2853297.0,71.51985930661967
2015-16,E92000001,England,England,National,45-74,B,70360.0,325142.0,21.639775851781685
2015-16,E92000001,England,England,National,45-74,C1,1517706.0,1745365.0,86.95636729280122
2015-16,E92000001,England,England,National,45-74,C2,131720.0,284880.0,46.237012075259756
2015-16,E92000001,England,England,National,45-74,D,831.0,839.0,99.04648390941597
2015-16,E92000001,England,England,National,50-52,A,145446.0,213692.0,68.0633809407933
2015-16,E92000001,England,England,National,50-52,A and C1,281508.0,375121.0,75.04458561370865
2015-16,E92000001,England,England,National,50-52,A to C2,306775.0,441614.0,69.4667741511818
2015-16,E92000001,England,England,National,50-52,A to D,306950.0,441791.0,69.47855433904266
2015-16,E92000001,England,England,National,50-52,B,21303.0,60326.0,35.31313198289295
2015-16,E92000001,England,England,National,50-52,C1,136062.0,161429.0,84.28597092220109
2015-16,E92000001,England,England,National,50-52,C2,3964.0,6167.0,64.2776066158586
2015-16,E92000001,England,England,National,50-52,D,175.0,177.0,98.87005649717514
2015-16,E92000001,England,England,National,50<71,A,157205.0,252745.0,62.19905438287602
2015-16,E92000001,England,England,National,50<71,A and C1,1599402.0,1908567.0,83.80119744289826
2015-16,E92000001,England,England,National,50<71,A to C2,1790997.0,2484216.0,72.09505936681835
2015-16,E92000001,England,England,National,50<71,A to D,1791683.0,2484909.0,72.1025598925353
2015-16,E92000001,England,England,National,50<71,B,67240.0,310761.0,21.637206727999974
2015-16,E92000001,England,England,National,50<71,C1,1442197.0,1655822.0,87.098552863774
2015-16,E92000001,England,England,National,50<71,C2,124355.0,264888.0,46.94625653106218
2015-16,E92000001,England,England,National,50<71,D,686.0,693.0,98.98989898989899
2015-16,E92000001,England,England,National,53-54,A,3996.0,10612.0,37.65548435733132
2015-16,E92000001,England,England,National,53-54,A and C1,164001.0,198832.0,82.48219602478474
2015-16,E92000001,England,England,National,53-54,A to C2,188823.0,269321.0,70.11076002242676
2015-16,E92000001,England,England,National,53-54,A to D,188918.0,269417.0,70.12103913264568
2015-16,E92000001,England,England,National,53-54,B,19403.0,61853.0,31.369537451699998
2015-16,E92000001,England,England,National,53-54,C1,160005.0,188220.0,85.00956327701626
2015-16,E92000001,England,England,National,53-54,C2,5419.0,8636.0,62.74895785085688
2015-16,E92000001,England,England,National,53-54,D,95.0,96.0,98.95833333333334
2015-16,E92000001,England,England,National,55-59,A,3853.0,13504.0,28.53228672985782
2015-16,E92000001,England,England,National,55-59,A and C1,387279.0,455763.0,84.97376926165573
2015-16,E92000001,England,England,National,55-59,A to C2,441249.0,613123.0,71.96745188159636
2015-16,E92000001,England,England,National,55-59,A to D,441384.0,613261.0,71.97327076073645
2015-16,E92000001,England,England,National,55-59,B,17165.0,89450.0,19.189491335941867
2015-16,E92000001,England,England,National,55-59,C1,383426.0,442259.0,86.69716161796595
2015-16,E92000001,England,England,National,55-59,C2,36805.0,67910.0,54.19673096745693
2015-16,E92000001,England,England,National,55-59,D,135.0,138.0,97.82608695652173
2015-16,E92000001,England,England,National,60-64,A,2332.0,8719.0,26.74618648927629
2015-16,E92000001,England,England,National,60-64,A and C1,346528.0,399842.0,86.66623316209903
2015-16,E92000001,England,England,National,60-64,A to C2,389590.0,531117.0,73.35295236266208
2015-16,E92000001,England,England,National,60-64,A to D,389719.0,531247.0,73.35928485243211
2015-16,E92000001,England,England,National,60-64,B,5813.0,51821.0,11.217460103047028
2015-16,E92000001,England,England,National,60-64,C1,344196.0,391123.0,88.00198403059906
2015-16,E92000001,England,England,National,60-64,C2,37249.0,79454.0,46.88121428751227
2015-16,E92000001,England,England,National,60-64,D,129.0,130.0,99.23076923076923
2015-16,E92000001,England,England,National,65-70,A,1578.0,6218.0,25.37793502733998
2015-16,E92000001,England,England,National,65-70,A and C1,420086.0,479009.0,87.69897851606129
2015-16,E92000001,England,England,National,65-70,A to C2,464560.0,629041.0,73.85210185027685
2015-16,E92000001,England,England,National,65-70,A to D,464712.0,629193.0,73.85841864102112
2015-16,E92000001,England,England,National,65-70,B,3556.0,47311.0,7.516222442983661
2015-16,E92000001,England,England,National,65-70,C1,418508.0,472791.0,88.5186054726084
2015-16,E92000001,England,England,National,65-70,C2,40918.0,102721.0,39.8341137644688
2015-16,E92000001,England,England,National,65-70,D,152.0,152.0,100.0
2015-16,E92000001,England,England,National,Over 70,A,117.0,423.0,27.659574468085108
2015-16,E92000001,England,England,National,Over 70,A and C1,60130.0,71210.0,84.4403875860132
2015-16,E92000001,England,England,National,Over 70,A to C2,67328.0,96782.0,69.56665495650017
2015-16,E92000001,England,England,National,Over 70,A to D,67413.0,96868.0,69.59264153280753
2015-16,E92000001,England,England,National,Over 70,B,348.0,6358.0,5.473419314249764
2015-16,E92000001,England,England,National,Over 70,C1,60013.0,70787.0,84.77969118623476
2015-16,E92000001,England,England,National,Over 70,C2,6850.0,19214.0,35.65108774851671
2015-16,E92000001,England,England,National,Over 70,D,85.0,86.0,98.83720930232558
2016-17,E92000001,England,England,National,45-49,A,150368.0,231366.0,64.99139890908776
2016-17,E92000001,England,England,National,45-49,A and C1,167736.0,252566.0,66.41273964033164
2016-17,E92000001,England,England,National,45-49,A to C2,171290.0,262860.0,65.16396560906946
2016-17,E92000001,England,England,National,45-49,A to D,171361.0,262933.0,65.1728767404624
2016-17,E92000001,England,England,National,45-49,B,3026.0,9439.0,32.058480771268144
2016-17,E92000001,England,England,National,45-49,C1,17368.0,21200.0,81.9245283018868
2016-17,E92000001,England,England,National,45-49,C2,528.0,855.0,61.75438596491228
2016-17,E92000001,England,England,National,45-49,D,71.0,73.0,97.26027397260275
2016-17,E92000001,England,England,National,45-74,A,293489.0,469143.0,62.55853758875226
2016-17,E92000001,England,England,National,45-74,A and C1,1872111.0,2296461.0,81.52156731597009
2016-17,E92000001,England,England,National,45-74,A to C2,2085824.0,2959179.0,70.48657752707761
2016-17,E92000001,England,England,National,45-74,A to D,2086589.0,2959954.0,70.49396713597577
2016-17,E92000001,England,England,National,45-74,B,74245.0,356918.0,20.801696748272715
2016-17,E92000001,England,England,National,45-74,C1,1578622.0,1827318.0,86.39010834457932
2016-17,E92000001,England,England,National,45-74,C2,139468.0,305800.0,45.60758665794637
2016-17,E92000001,England,England,National,45-74,D,765.0,775.0,98.70967741935483
2016-17,E92000001,England,England,National,50-52,A,130685.0,196718.0,66.43265994977583
2016-17,E92000001,England,England,National,50-52,A and C1,280878.0,376430.0,74.61626331588874
2016-17,E92000001,England,England,National,50-52,A to C2,309887.0,455227.0,68.07307123698726
2016-17,E92000001,England,England,National,50-52,A to D,310050.0,455393.0,68.08405047947596
2016-17,E92000001,England,England,National,50-52,B,24186.0,71015.0,34.057593466169116
2016-17,E92000001,England,England,National,50-52,C1,150193.0,179712.0,83.5742743945869
2016-17,E92000001,England,England,National,50-52,C2,4823.0,7782.0,61.97635569262401
2016-17,E92000001,England,England,National,50-52,D,163.0,166.0,98.19277108433735
2016-17,E92000001,England,England,National,50<71,A,142977.0,237170.0,60.28460597883375
2016-17,E92000001,England,England,National,50<71,A and C1,1640583.0,1967375.0,83.38944024397992
2016-17,E92000001,England,England,National,50<71,A to C2,1843375.0,2592370.0,71.10771224786585
2016-17,E92000001,England,England,National,50<71,A to D,1844023.0,2593024.0,71.11476793118769
2016-17,E92000001,England,England,National,50<71,B,70884.0,340388.0,20.824470897916495
2016-17,E92000001,England,England,National,50<71,C1,1497606.0,1730205.0,86.5565641065654
2016-17,E92000001,England,England,National,50<71,C2,131908.0,284607.0,46.34741942397763
2016-17,E92000001,England,England,National,50<71,D,648.0,654.0,99.08256880733946
2016-17,E92000001,England,England,National,53-54,A,3571.0,9964.0,35.83902047370534
2016-17,E92000001,England,England,National,53-54,A and C1,169557.0,205743.0,82.41203831965122
2016-17,E92000001,England,England,National,53-54,A to C2,196237.0,282871.0,69.37331857984735
2016-17,E92000001,England,England,National,53-54,A to D,196323.0,282957.0,69.38262704227144
2016-17,E92000001,England,England,National,53-54,B,19438.0,65244.0,29.792777879958308
2016-17,E92000001,England,England,National,53-54,C1,165986.0,195779.0,84.78233109781948
2016-17,E92000001,England,England,National,53-54,C2,7242.0,11884.0,60.93907775159879
2016-17,E92000001,England,England,National,53-54,D,86.0,86.0,100.0
2016-17,E92000001,England,England,National,55-59,A,4345.0,14214.0,30.56845363725904
2016-17,E92000001,England,England,National,55-59,A and C1,408862.0,482941.0,84.66085919398022
2016-17,E92000001,England,England,National,55-59,A to C2,466878.0,655476.0,71.22732182414
2016-17,E92000001,England,England,National,55-59,A to D,467002.0,655601.0,71.23265522779862
